Name;Type
amount;double
amountOrdered;double
binNumbers;string
catchUpPeriod;RecordRef
chargesList;RecordRefList
chargeType;RecordRef
class;RecordRef
costEstimate;double
costEstimateType;ItemCostEstimateType
currentPercent;double
customFieldList;CustomFieldList
deferRevRec;boolean
department;RecordRef
description;string
excludeFromRateRequest;boolean
giftCertFrom;string
giftCertMessage;string
giftCertNumber;string
giftCertRecipientEmail;string
giftCertRecipientName;string
grossAmt;double
inventoryDetail;InventoryDetail
isTaxable;boolean
item;RecordRef
itemIsFulfilled;boolean
job;RecordRef
licenseCode;string
line;long
location;RecordRef
options;CustomFieldList
orderLine;long
percentComplete;double
price;RecordRef
quantity;double
quantityAvailable;double
quantityFulfilled;double
quantityOnHand;double
quantityOrdered;double
quantityRemaining;double
rate;string
revRecEndDate;dateTime
revRecSchedule;RecordRef
revRecStartDate;dateTime
serialNumbers;string
shipAddress;RecordRef
shipGroup;long
shipMethod;RecordRef
subscriptionLine;RecordRef
tax1Amt;double
taxAmount;double
taxCode;RecordRef
taxDetailsReference;string
taxRate1;double
taxRate2;double
units;RecordRef
vsoeAllocation;double
vsoeAmount;double
vsoeDeferral;VsoeDeferral
vsoeDelivered;boolean
vsoeIsEstimate;boolean
vsoePermitDiscount;VsoePermitDiscount
vsoePrice;double
vsoeSopGroup;VsoeSopGroup
