Name;Type
destinationAddress;string
destinationAddressRef;RecordRef
handlingRate;double
handlingTax2Amt;double
handlingTax2Rate;string
handlingTaxAmt;double
handlingTaxCode;RecordRef
handlingTaxRate;string
id;long
isFulfilled;boolean
isHandlingTaxable;boolean
isShippingTaxable;boolean
shippingMethod;string
shippingMethodRef;RecordRef
shippingRate;double
shippingTax2Amt;double
shippingTax2Rate;string
shippingTaxAmt;double
shippingTaxCode;RecordRef
shippingTaxRate;string
sourceAddress;string
sourceAddressRef;RecordRef
weight;double
