Name;Type
account;RecordRef
accountingBookDetailList;AccountingBookDetailList
altHandlingCost;double
altShippingCost;double
amountPaid;double
amountRemaining;double
approvalStatus;RecordRef
balance;double
billAddressList;RecordRef
billingAccount;RecordRef
billingAddress;Address
billingSchedule;RecordRef
canHaveStackable;boolean
class;RecordRef
contribPct;string
createdDate;dateTime
createdFrom;RecordRef
currency;RecordRef
currencyName;string
customFieldList;CustomFieldList
customForm;RecordRef
deferredRevenue;double
department;RecordRef
discountAmount;double
discountDate;dateTime
discountItem;RecordRef
discountRate;string
discountTotal;double
dueDate;dateTime
email;string
endDate;dateTime
entity;RecordRef
entityTaxRegNum;RecordRef
estGrossProfit;double
estGrossProfitPercent;double
exchangeRate;double
excludeCommission;boolean
expCostDiscAmount;double
expCostDiscount;RecordRef
expCostDiscPrint;boolean
expCostDiscRate;string
expCostDiscTax1Amt;double
expCostDiscTaxable;boolean
expCostList;InvoiceExpCostList
expCostTaxCode;RecordRef
expCostTaxRate1;double
expCostTaxRate2;double
fax;string
fob;string
giftCertApplied;double
giftCertRedemptionList;GiftCertRedemptionList
handlingCost;double
handlingTax1Rate;double
handlingTax2Rate;string
handlingTaxCode;RecordRef
installmentList;InstallmentList
isTaxable;boolean
itemCostDiscAmount;double
itemCostDiscount;RecordRef
itemCostDiscPrint;boolean
itemCostDiscRate;string
itemCostDiscTax1Amt;double
itemCostDiscTaxable;boolean
itemCostList;InvoiceItemCostList
itemCostTaxCode;RecordRef
itemCostTaxRate1;double
itemCostTaxRate2;double
itemList;InvoiceItemList
job;RecordRef
lastModifiedDate;dateTime
leadSource;RecordRef
linkedTrackingNumbers;string
location;RecordRef
memo;string
message;string
messageSel;RecordRef
nextApprover;RecordRef
nexus;RecordRef
onCreditHold;string
opportunity;RecordRef
otherRefNum;string
overrideInstallments;boolean
partner;RecordRef
partnersList;InvoicePartnersList
postingPeriod;RecordRef
promoCode;RecordRef
promotionsList;PromotionsList
recognizedRevenue;double
recurringBill;boolean
revenueStatus;RevenueStatus
revRecEndDate;dateTime
revRecOnRevCommitment;boolean
revRecSchedule;RecordRef
revRecStartDate;dateTime
salesEffectiveDate;dateTime
salesGroup;RecordRef
salesRep;RecordRef
salesTeamList;InvoiceSalesTeamList
shipAddressList;RecordRef
shipDate;dateTime
shipGroupList;InvoiceShipGroupList
shipIsResidential;boolean
shipMethod;RecordRef
shippingAddress;Address
shippingCost;double
shippingTax1Rate;double
shippingTax2Rate;string
shippingTaxCode;RecordRef
source;string
startDate;dateTime
status;string
subsidiary;RecordRef
subsidiaryTaxRegNum;RecordRef
subTotal;double
syncPartnerTeams;boolean
syncSalesTeams;boolean
tax2Total;double
taxDetailsList;TaxDetailsList
taxDetailsOverride;boolean
taxItem;RecordRef
taxPointDate;dateTime
taxRate;double
taxRegOverride;boolean
taxTotal;double
terms;RecordRef
timeDiscAmount;double
timeDiscount;RecordRef
timeDiscPrint;boolean
timeDiscRate;string
timeDiscTax1Amt;double
timeDiscTaxable;boolean
timeList;InvoiceTimeList
timeTaxCode;RecordRef
timeTaxRate1;double
timeTaxRate2;double
toBeEmailed;boolean
toBeFaxed;boolean
toBePrinted;boolean
total;double
totalCostEstimate;double
trackingNumbers;string
tranDate;dateTime
tranId;string
tranIsVsoeBundle;boolean
vatRegNum;string
vsoeAutoCalc;boolean
